START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/20/15,11:05 AM,11:05 AM,Orioles at Red Sox,Fenway Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/20/15,04/20/15,02:05 PM,02:05 PM,FALSE,TRUE,04/20/15,10:05 AM,10:05 AM,FREE,BUSY
04/27/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/27/15,04/27/15,09:10 PM,09:10 PM,FALSE,TRUE,04/27/15,05:10 PM,05:10 PM,FREE,BUSY
04/28/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/28/15,04/28/15,09:10 PM,09:10 PM,FALSE,TRUE,04/28/15,05:10 PM,05:10 PM,FREE,BUSY
04/29/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",04/29/15,04/29/15,09:10 PM,09:10 PM,FALSE,TRUE,04/29/15,05:10 PM,05:10 PM,FREE,BUSY
05/01/15,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/01/15,05/01/15,10:10 PM,10:10 PM,FALSE,TRUE,05/01/15,06:10 PM,06:10 PM,FREE,BUSY
05/02/15,01:35 PM,01:35 PM,Yankees at Red Sox,Fenway Park,"Local TV: NESN -- MLBN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/02/15,05/02/15,04:35 PM,04:35 PM,FALSE,TRUE,05/02/15,12:35 PM,12:35 PM,FREE,BUSY
05/03/15,08:05 PM,08:05 PM,Yankees at Red Sox,Fenway Park,"Local TV: ESPN -- WatchESPN -- ESPN Deportes ----- Local Radio: WEEI 93.7 -- SBN 1150 -- ESPN Deportes -- ESPN Radio",05/03/15,05/03/15,11:05 PM,11:05 PM,FALSE,TRUE,05/03/15,07:05 PM,07:05 PM,FREE,BUSY
05/04/15,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/04/15,05/04/15,10:10 PM,10:10 PM,FALSE,TRUE,05/04/15,06:10 PM,06:10 PM,FREE,BUSY
05/05/15,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/05/15,05/05/15,10:10 PM,10:10 PM,FALSE,TRUE,05/05/15,06:10 PM,06:10 PM,FREE,BUSY
05/06/15,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park,"Local TV: NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/06/15,05/06/15,10:10 PM,10:10 PM,FALSE,TRUE,05/06/15,06:10 PM,06:10 PM,FREE,BUSY
05/19/15,07:10 PM,07:10 PM,Rangers at Red Sox,Fenway Park,"Local TV: MLBN -- NESN ----- Local Radio: WEEI 93.7 -- SBN 1150",05/19/15,05/19/15,10:10 PM,10:10 PM,FALSE,TRUE,05/19/15,06:10 PM,06:10 PM,FREE,BUSY
